file,model_count
2008-01-13_15-23-27.dimacs,10616587075491079407529624594482689231222542521379787416046609388086189864990465698452194743128561328125000000000
2008-01-13_18-43-50.dimacs,31849761226473238222588873783448067693667627564139362248139828164258569594971397095356584229385683984375000000000
2008-01-18_20-41-24.dimacs,16249887369400052546698889858756818319541476727961862026055306261258708613763481815676785135624235671875000000000
2008-01-28_22-47-03.dimacs,48749662108200157640096669576270454958624430183885586078165918783776125841290445447030355406872707015625000000000
2008-02-01_06-53-50.dimacs,76606611884314533434437623619853572077838390288963063837117872374505340607742128559619129925085682453125000000000
2008-02-04_13-12-16.dimacs,152483636988778452264737746062375205373983081622793146113882241202586820828743855894860934803265786978125000000000
2008-02-08_15-04-00.dimacs,457450910966335356794213238187125616121949244868379438341646723607760462486231567684582804409797360934375000000000
2008-02-08_18-24-54.dimacs,3812090924719461306618443651559380134349577040569828652847056030064670520718596397371523370081644674453125000000000
2008-02-13_16-52-00.dimacs,3812090924719461306618443651559380134349577040569828652847056030064670520718596397371523370081644674453125000000000
2008-02-14_20-37-54.dimacs,3812090924719461306618443651559380134349577040569828652847056030064670520718596397371523370081644674453125000000000
2008-02-15_02-27-19.dimacs,3812090924719461306618443651559380134349577040569828652847056030064670520718596397371523370081644674453125000000000
2008-02-15_15-17-23.dimacs,11435617179082540452193278868725031700463210816475142412931467065475200663892260611565731670465679163359375000000000
2008-02-16_23-28-42.dimacs,16996700453936384524315995305407058611040432659128578353125134156331424312505057462416499296757404820859375000000000
2008-02-18_12-07-49.dimacs,33679950278497916740684144615453139342772098187088886173706135428900095258343448014968802175632581793359375000000000
2008-02-18_21-08-49.dimacs,54077074374815990982078144483633797288828226489034035996244601915278551932007859029507106514691582495038416033359375000000000
2008-02-18_23-24-46.dimacs,54077074374815990982078144483633797288828226489034035996244601915278551932007859029507106514691582495038416033359375000000000
2008-02-19_11-26-28.dimacs,94605193074243935097360048187792051116228436733964100350686749411365863051567787755590598916514454630098336273359375000000000
2008-02-19_11-36-22.dimacs,12204069906577467627559446216225174593993468338681368945238590674066196333652244620471187260230364647282685379263359375000000000
2008-02-19_23-42-22.dimacs,24403033635105278806259299231176808996040931622405318315925677070388476980639783167022318473179049159935721371503359375000000000
2008-02-20_22-29-52.dimacs,24403033635105278806259299231176808996040931622405318315925677070388476980639783167022318473179049159935721371503359375000000000
2008-02-22_22-24-48.dimacs,24403033635105278806259299231176808996040931622405318315925677070388476980639783167022318473179049159935721371503359375000000000
2008-02-24_22-45-04.dimacs,73206304352470554067647876804290096576562578728490208095046973009423749644132342913021921812403905913966970304950078125000000000
2008-02-24_23-32-36.dimacs,73206304352470554067647876804290096576562578728490208095046973009423749644132342913021921812403905913966970304950078125000000000
2008-02-26_18-25-24.dimacs,73206304352470554067647876804290096576562578728490208095046973009423749644132342913021921812403905913966970304950078125000000000
2008-02-26_20-13-52.dimacs,142106355507736957896022349090680775707445005767069227478620594665351984603315724478219024694666405597700589415491328125000000000
2008-02-27_09-39-04.dimacs,5684254220309478315840893963627231028297800230682769099144823786614079384132628979128760987786656223908023576619653125000000000
2008-02-27_11-54-59.dimacs,5684254220309478315840893963627231028297800230682769099144823786614079384132628979128760987786656223908023576619653125000000000
2008-03-17_09-10-39.dimacs,13709083707805212408792744265218616009424106438705501944996339720657485573496340479075247088191347363542880390670928125000000000
2008-03-17_09-21-26.dimacs,4562584363879201387363227324695787991354143459839307397171362818869523504575388246217500160144410005681664597769928125000000000
2008-03-17_09-25-05.dimacs,2227841385077302077295475519576577469014317455504834961014267346797204418174942752054049247639473546427634646728125000000000
2008-03-19_23-15-26.dimacs,4208135382286835101670780006693583551481250259406368190937022585959944698339888733817558770096295390401048404353125000000000
2008-03-20_16-04-36.dimacs,5482911663975353148216781912847674761653533461158776348967674925897460645920368378570265100381770275912467522571875000000000
2008-03-21_18-29-01.dimacs,5482890846269346569512807688327182665591545723186087420621126661820785241713614727199636204711588364379869584771875000000000
